mjd,fid,magpsf,sigmapsf
58647.33482640004,1,16.50655,0.050607685
59370.376921299845,1,16.5135,0.078868
59376.35533560021,1,14.9107,0.044108
59378.33572919993,1,15.9111,0.066231
59382.33451389987,2,14.8563,0.047997
59386.32374999998,1,15.5547,0.019341
59386.32374999998,1,15.554666,0.019341115
59386.32374999998,1,15.744303,0.05081891
59395.27255789982,1,14.7266,0.058547
59400.29299770016,1,16.098,0.07864
59407.25112270005,1,15.691279,0.020156695
59407.25112270005,1,15.861365,0.059467897
59411.293831000105,1,15.9479265,0.029359136
59439.17151620006,1,15.1514,0.058573
59447.174016200006,1,15.8708,0.052323
59450.170578700025,2,14.6677,0.084763
59454.18987269979,1,16.0121,0.0235
59454.18987269979,1,16.3543,0.119132
59461.189675900154,1,15.171,0.057254
59463.18975690007,1,15.2542,0.043836
59463.18975690007,1,15.177,0.009522
59469.14872690011,1,16.40998,0.14752635
