mjd,fid,magpsf,sigmapsf
58646.29253470013,2,18.6152,0.149603
58647.2927778,2,18.728918,0.11880071
58653.3978587999,2,17.9743,0.208573
58654.345949099865,2,18.693016,0.15112396
58686.29337960016,2,18.608578,0.10910661
58692.16746529983,2,18.883394,0.17068394
58702.16846060008,2,18.165667,0.108599074
58709.25333329989,2,17.931229,0.071417734
58712.231527800206,2,18.448214,0.1402887
58999.33420140017,2,18.2011,0.058259618
59011.35437500011,2,19.1119,0.232658
59032.314699099865,2,18.137436,0.089259416
59045.209560200106,2,18.11402,0.050552078
